Product Name,URL,Price
"Asus Zenfone 5 A501CG (Gold, 8 GB)",/asus-zenfone-5-a501cg-gold-8-gb/p/itmeuydansgfvjtp?pid=MOBDXZ9W7DHYYWEP&lid=LSTMOBDXZ9W7DHYYWEPCKFKLU&marketplace=FLIPKART&srno=s_1_1&otracker=search&fm=organic&iid=6b8fe8f4-a240-44ef-a62a-4a477b643f21.MOBDXZ9W7DHYYWEP.SEARCH&ssid=haq3rh1nwg0000001596615523383&qH=cb6ab3315634a1e4,"₹8,499"
"Asus Padfone Mini (White, 8 GB)",/asus-padfone-mini-white-8-gb/p/itmeuyd9y2z66g3m?pid=MOBEFNFRZNST8WCY&lid=LSTMOBEFNFRZNST8WCYMXS7CX&marketplace=FLIPKART&srno=s_1_2&otracker=search&fm=organic&iid=6b8fe8f4-a240-44ef-a62a-4a477b643f21.MOBEFNFRZNST8WCY.SEARCH&ssid=haq3rh1nwg0000001596615523383&qH=cb6ab3315634a1e4,"₹12,999"
"Asus Zenfone 2 Laser (Black, 16 GB)",/asus-zenfone-2-laser-black-16-gb/p/itmechh2dphwygaz?pid=MOBE9YR6ZRHZNABP&lid=LSTMOBE9YR6ZRHZNABPCY6LB9&marketplace=FLIPKART&srno=s_1_3&otracker=search&fm=organic&iid=6b8fe8f4-a240-44ef-a62a-4a477b643f21.MOBE9YR6ZRHZNABP.SEARCH&ssid=haq3rh1nwg0000001596615523383&qH=cb6ab3315634a1e4,"₹12,999"
"Asus Zenfone Selfie (Silver, 16 GB)",/asus-zenfone-selfie-silver-16-gb/p/itmebpvetvsjgp4n?pid=MOBE9YR6VSUHZXDY&lid=LSTMOBE9YR6VSUHZXDYG7QDIV&marketplace=FLIPKART&srno=s_1_4&otracker=search&fm=organic&iid=6b8fe8f4-a240-44ef-a62a-4a477b643f21.MOBE9YR6VSUHZXDY.SEARCH&ssid=haq3rh1nwg0000001596615523383&qH=cb6ab3315634a1e4,"₹14,999"
"Asus Zenfone 4 (Red, 8 GB)",/asus-zenfone-4-red-8-gb/p/itmeuyd8dqe79wcm?pid=MOBDXZ9W2TG79YJR&lid=LSTMOBDXZ9W2TG79YJR1BFEVG&marketplace=FLIPKART&srno=s_1_5&otracker=search&fm=organic&iid=6b8fe8f4-a240-44ef-a62a-4a477b643f21.MOBDXZ9W2TG79YJR.SEARCH&ssid=haq3rh1nwg0000001596615523383&qH=cb6ab3315634a1e4,"₹7,499"
"Asus Zenfone 4 (Yellow, 8 GB)",/asus-zenfone-4-yellow-8-gb/p/itmeuyd8dqe79wcm?pid=MOBDXZAYUUSQVNYW&lid=LSTMOBDXZAYUUSQVNYWZDAPZA&marketplace=FLIPKART&srno=s_1_6&otracker=search&fm=organic&iid=6b8fe8f4-a240-44ef-a62a-4a477b643f21.MOBDXZAYUUSQVNYW.SEARCH&ssid=haq3rh1nwg0000001596615523383&qH=cb6ab3315634a1e4,"₹7,499"
"Asus Zenfone 4 (Blue, 8 GB)",/asus-zenfone-4-blue-8-gb/p/itmeygpv4uxt4gjx?pid=MOBEY2ZC4WUH26KB&lid=LSTMOBEY2ZC4WUH26KBSVXLTJ&marketplace=FLIPKART&srno=s_1_7&otracker=search&fm=organic&iid=6b8fe8f4-a240-44ef-a62a-4a477b643f21.MOBEY2ZC4WUH26KB.SEARCH&ssid=haq3rh1nwg0000001596615523383&qH=cb6ab3315634a1e4,"₹6,499"
Asus Mobile Battery For Asus Asus Zenfone Max Pro M1 X00TD (C11P1706),/asus-mobile-battery-zenfone-max-pro-m1-x00td-c11p1706/p/itmb8b764513aaad?pid=MITFMR3DQQCS74W2&lid=LSTMITFMR3DQQCS74W2JZIFTH&marketplace=FLIPKART&srno=s_1_8&otracker=search&fm=organic&iid=6b8fe8f4-a240-44ef-a62a-4a477b643f21.MITFMR3DQQCS74W2.SEARCH&ssid=haq3rh1nwg0000001596615523383&qH=cb6ab3315634a1e4,"₹1,199"
Asus APWU002 30W 6 A Mobile Charger with Detachable Cable,/asus-apwu002-30w-6-mobile-charger-detachable-cable/p/itm2e362dddeb666?pid=ACCFMBRF9EFHZHQY&lid=LSTACCFMBRF9EFHZHQYGTHOG4&marketplace=FLIPKART&srno=s_1_9&otracker=search&fm=organic&iid=6b8fe8f4-a240-44ef-a62a-4a477b643f21.ACCFMBRF9EFHZHQY.SEARCH&ssid=haq3rh1nwg0000001596615523383&qH=cb6ab3315634a1e4,"₹1,999"
Asus TUF GAMING H3 GUN METAL Wired Headset Gaming Headphone,/asus-tuf-gaming-h3-gun-metal-wired-headset-headphone/p/itm9fb229ad1f1f7?pid=ACCFM3VZCGGCGZPD&lid=LSTACCFM3VZCGGCGZPDA1OQYQ&marketplace=FLIPKART&srno=s_1_10&otracker=search&fm=organic&iid=6b8fe8f4-a240-44ef-a62a-4a477b643f21.ACCFM3VZCGGCGZPD.SEARCH&ssid=haq3rh1nwg0000001596615523383&qH=cb6ab3315634a1e4,"₹4,750"
Asus ROG Strix G15 Core i7 10th Gen - (8 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX ...,/asus-rog-strix-g15-core-i7-10th-gen-8-gb-1-tb-ssd-windows-10-home-4-gb-graphics-nvidia-geforce-gtx-1650-ti-g512li-hn060t-gaming-laptop/p/itm933f0073b0efe?pid=COMFTYWYGHPSGG3T&lid=LSTCOMFTYWYGHPSGG3TH17DTD&marketplace=FLIPKART&srno=s_1_11&otracker=search&fm=organic&iid=6b8fe8f4-a240-44ef-a62a-4a477b643f21.COMFTYWYGHPSGG3T.SEARCH&ssid=haq3rh1nwg0000001596615523383&qH=cb6ab3315634a1e4,"₹94,990"
Asus VivoBook 14 Ryzen 5 Quad Core 2nd Gen - (8 GB/512 GB SSD/Windows 10 Home) X412DA-EK501T Thin and ...,/asus-vivobook-14-ryzen-5-quad-core-2nd-gen-8-gb-512-gb-ssd-windows-10-home-x412da-ek501t-thin-light-laptop/p/itm226532a78af60?pid=COMFMCSBD8T53WEJ&lid=LSTCOMFMCSBD8T53WEJ2ZDSQA&marketplace=FLIPKART&srno=s_1_12&otracker=search&fm=organic&iid=6b8fe8f4-a240-44ef-a62a-4a477b643f21.COMFMCSBD8T53WEJ.SEARCH&ssid=haq3rh1nwg0000001596615523383&qH=cb6ab3315634a1e4,"₹42,990"
Asus VivoBook 15 Ryzen 3 Dual Core - (4 GB/1 TB HDD/Windows 10 Home) M509DA-EJ741T Laptop,/asus-vivobook-15-ryzen-3-dual-core-4-gb-1-tb-hdd-windows-10-home-m509da-ej741t-laptop/p/itm3818c90283cd6?pid=COMFSKF9EMHCTN2Y&lid=LSTCOMFSKF9EMHCTN2YYUZ02T&marketplace=FLIPKART&srno=s_1_13&otracker=search&fm=organic&iid=6b8fe8f4-a240-44ef-a62a-4a477b643f21.COMFSKF9EMHCTN2Y.SEARCH&ssid=haq3rh1nwg0000001596615523383&qH=cb6ab3315634a1e4,"₹29,990"
"Asus 24D5MT DVD , CD , M-DISK BURNER Internal Optical Drive",/asus-24d5mt-dvd-m-disk-burner-internal-optical-drive/p/itmeyxfdanmmnzcd?pid=IODEYXFDMXDTDFK3&lid=LSTIODEYXFDMXDTDFK3OPLVGV&marketplace=FLIPKART&srno=s_1_14&otracker=search&fm=organic&iid=6b8fe8f4-a240-44ef-a62a-4a477b643f21.IODEYXFDMXDTDFK3.SEARCH&ssid=haq3rh1nwg0000001596615523383&qH=cb6ab3315634a1e4,"₹1,449"
Asus VivoBook Gaming Core i7 9th Gen - (16 GB + 32 GB Optane/512 GB SSD/Windows 10 Home/4 GB Graphics/...,/asus-vivobook-gaming-core-i7-9th-gen-16-gb-32-optane-512-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-f571gt-al318t-laptop/p/itm54586171780fb?pid=COMFNEK5GUZHGUV6&lid=LSTCOMFNEK5GUZHGUV6BEHRAN&marketplace=FLIPKART&srno=s_1_15&otracker=search&fm=organic&iid=6b8fe8f4-a240-44ef-a62a-4a477b643f21.COMFNEK5GUZHGUV6.SEARCH&ssid=haq3rh1nwg0000001596615523383&qH=cb6ab3315634a1e4,"₹75,990"
Asus VivoBook Gaming Core i5 9th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA ...,/asus-vivobook-gaming-core-i5-9th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-f571gt-al518t-laptop/p/itm476a4eb951e6e?pid=COMFPCU627WHMGFK&lid=LSTCOMFPCU627WHMGFKGM8PEI&marketplace=FLIPKART&srno=s_1_16&otracker=search&fm=organic&iid=6b8fe8f4-a240-44ef-a62a-4a477b643f21.COMFPCU627WHMGFK.SEARCH&ssid=haq3rh1nwg0000001596615523383&qH=cb6ab3315634a1e4,"₹64,990"
Asus NVIDIA NVIDIA GeForce GT 710 2 GB GDDR5 Graphics Card,/asus-nvidia-geforce-gt-710-2-gb-gddr5-graphics-card/p/itmd07fe61d5b55c?pid=GRCFSSCBG2UVBY3Z&lid=LSTGRCFSSCBG2UVBY3ZNQVJ4W&marketplace=FLIPKART&srno=s_1_17&otracker=search&fm=organic&iid=6b8fe8f4-a240-44ef-a62a-4a477b643f21.GRCFSSCBG2UVBY3Z.SEARCH&ssid=haq3rh1nwg0000001596615523383&qH=cb6ab3315634a1e4,"₹3,799"
Asus VivoBook 14 Core i3 7th Gen - (4 GB/256 GB SSD/Windows 10 Home) X412UA-EK342T Thin and Light Lapt...,/asus-vivobook-14-core-i3-7th-gen-4-gb-256-gb-ssd-windows-10-home-x412ua-ek342t-thin-light-laptop/p/itmfg9yrupjvburs?pid=COMFG9YRKW6YM6WX&lid=LSTCOMFG9YRKW6YM6WXUR4PZP&marketplace=FLIPKART&srno=s_1_18&otracker=search&fm=organic&iid=6b8fe8f4-a240-44ef-a62a-4a477b643f21.COMFG9YRKW6YM6WX.SEARCH&ssid=haq3rh1nwg0000001596615523383&qH=cb6ab3315634a1e4,"₹33,990"
Asus SDRW-08D2S-U External DVD Writer,/asus-sdrw-08d2s-u-external-dvd-writer/p/itmd8qfxgyz9gz7c?pid=ACCFJ39DB9ZHR6P7&lid=LSTACCFJ39DB9ZHR6P7ZIHEK4&marketplace=FLIPKART&srno=s_1_19&otracker=search&fm=organic&iid=6b8fe8f4-a240-44ef-a62a-4a477b643f21.ACCFJ39DB9ZHR6P7.SEARCH&ssid=haq3rh1nwg0000001596615523383&qH=cb6ab3315634a1e4,"₹2,399"
Asus VivoBook Gaming Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce G...,/asus-vivobook-gaming-core-i5-8th-gen-8-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-f571gt-bq619t-laptop/p/itm1ac5ceb0c899b?pid=COMFPVN3URHUF69A&lid=LSTCOMFPVN3URHUF69ALKAKBE&marketplace=FLIPKART&srno=s_1_20&otracker=search&fm=organic&iid=6b8fe8f4-a240-44ef-a62a-4a477b643f21.COMFPVN3URHUF69A.SEARCH&ssid=haq3rh1nwg0000001596615523383&qH=cb6ab3315634a1e4,"₹52,990"
Asus TUF K5 Wired USB Gaming Keyboard,/asus-tuf-k5-wired-usb-gaming-keyboard/p/itmfg6xzjhzmq8tz?pid=ACCFG6XZGZSVJ5JU&lid=LSTACCFG6XZGZSVJ5JUB02YYB&marketplace=FLIPKART&srno=s_1_21&otracker=search&fm=organic&iid=6b8fe8f4-a240-44ef-a62a-4a477b643f21.ACCFG6XZGZSVJ5JU.SEARCH&ssid=haq3rh1nwg0000001596615523383&qH=cb6ab3315634a1e4,"₹4,249"
Asus E1Z Portable Projector,/asus-e1z-portable-projector/p/itmfeny5n8fmwszh?pid=PROFENY5ZCQXCYNA&lid=LSTPROFENY5ZCQXCYNAJZLAAK&marketplace=FLIPKART&srno=s_1_22&otracker=search&fm=organic&iid=6b8fe8f4-a240-44ef-a62a-4a477b643f21.PROFENY5ZCQXCYNA.SEARCH&ssid=haq3rh1nwg0000001596615523383&qH=cb6ab3315634a1e4,"₹24,000"
